auc_ctr,logloss_ctr,pr_auc_ctr,auc_ctcvr,logloss_ctcvr,pr_auc_ctcvr,auc_cvr,logloss_cvr,pr_auc_cvr,model,train_size,propose_switches,propose_split_calls,delta
0.9388656594446628,0.07687196705640524,0.38394206382795426,0.9091836408403416,0.044233563507454395,0.1509051081681413,0.7031438529972254,0.4501976268077479,0.39572664969259513,propose,10000,10,278,0.0001
0.9388668547121193,0.07685714027113978,0.3841891679449936,0.9091899447720764,0.04425102187121982,0.15085775700212775,0.7028545474293275,0.45078643409466557,0.391165455568527,propose,10000,12,279,0.0005
0.9388677228962513,0.0768547296212583,0.3841457513908597,0.9091900259821472,0.04425266196966533,0.15086844498359422,0.7027528461546055,0.4510043309831603,0.39039942049123305,propose,10000,14,280,0.001
0.9388677228962513,0.0768547296212583,0.3841457513908597,0.9091900259821472,0.04425266196966533,0.15086844498359422,0.7027528461546055,0.4510043309831603,0.39039942049123305,propose,10000,17,280,0.005
0.9388677228962513,0.0768547296212583,0.3841457513908597,0.9091900259821472,0.04425266196966533,0.15086844498359422,0.7027528461546055,0.4510043309831603,0.39039942049123305,propose,10000,22,280,0.01
0.9388677228962513,0.0768547296212583,0.3841457513908597,0.9091900259821472,0.04425266196966533,0.15086844498359422,0.7027528461546055,0.4510043309831603,0.39039942049123305,propose,10000,27,280,0.05
0.9389362488717088,0.07679453999174352,0.38525652936173826,0.9091903102173945,0.04425049398893282,0.15088172921695986,0.7026985396486862,0.4512387448644278,0.38981650617122404,propose,10000,36,282,0.1
0.9387694807950785,0.07180834727887311,0.41156778656414317,0.9113015081217685,0.03425484836157969,0.17720524652130412,0.7085088420865547,0.4491468618787633,0.40848789354415554,propose,10000,62,288,0.3
0.9400150686076051,0.07118471211931665,0.4201809003010113,0.9112297285705657,0.034190602600108165,0.1773798724285575,0.7051364080689593,0.45346575234004594,0.3791221977108352,propose,10000,81,289,0.5
0.9516342049994896,0.06828437381258633,0.44174353326252486,0.9109709526804145,0.03348355067576716,0.17889356121600036,0.6909179774282413,0.45880985181402284,0.35020395998078596,propose,10000,107,290,1.0
0.9546953475453944,0.07034443303136811,0.40507810658242827,0.9151130723343176,0.03360576779311017,0.16759247913761985,0.6750614650907907,0.4729486763765156,0.3252995098311617,propose,10000,197,280,3.0
0.9539948440926846,0.07463995344290247,0.38966752429774326,0.9190147086664849,0.04115348435592599,0.1523416133637245,0.680797219506897,0.4739071809893098,0.34577948183360696,propose,10000,219,276,5.0
0.9546141804051658,0.0666523623848094,0.43572379687419904,0.9242795372447148,0.03158441453304442,0.1869192075243509,0.68263969114409,0.46993867009617823,0.3433370018839445,propose,10000,212,254,10.0
0.9553585493659127,0.06541142444706016,0.461930511040112,0.8561743153864153,0.03500914845359461,0.1390942748064283,0.6544862110844516,0.4696893823999443,0.35320537443957406,propose,10000,193,225,30.0
0.9473661963176816,0.06800604946601778,0.4489750325521881,0.9644316099670024,0.02403867893189511,0.1896985872820198,0.7404901412291731,0.4416565371459207,0.4451485861607716,propose,50000,4,284,0.0001
0.9473661963176816,0.06800604946601778,0.4489750325521881,0.9644316099670024,0.02403867893189511,0.1896985872820198,0.7404901412291731,0.4416565371459207,0.4451485861607716,propose,50000,4,284,0.0005
0.9473661963176816,0.06800604946601778,0.4489750325521881,0.9644316099670024,0.02403867893189511,0.1896985872820198,0.7404901412291731,0.4416565371459207,0.4451485861607716,propose,50000,4,284,0.001
0.9473661963176816,0.06800604946601778,0.4489750325521881,0.9644316099670024,0.02403867893189511,0.1896985872820198,0.7404901412291731,0.4416565371459207,0.4451485861607716,propose,50000,5,284,0.005
0.9473661963176816,0.06800604946601778,0.4489750325521881,0.9644316099670024,0.02403867893189511,0.1896985872820198,0.7404901412291731,0.4416565371459207,0.4451485861607716,propose,50000,7,284,0.01
0.9473661963176816,0.06800604946601778,0.4489750325521881,0.9644316099670024,0.02403867893189511,0.1896985872820198,0.7404901412291731,0.4416565371459207,0.4451485861607716,propose,50000,16,284,0.05
0.9473661963176816,0.06800604946601778,0.4489750325521881,0.9644316099670024,0.02403867893189511,0.1896985872820198,0.7404901412291731,0.4416565371459207,0.4451485861607716,propose,50000,18,284,0.1
0.9540031194829365,0.06649024192519087,0.45156733173743563,0.9650229624222201,0.02404009137549122,0.18972751159007684,0.7410270446948324,0.44117939327159794,0.4452419234525833,propose,50000,44,284,0.3
0.9540708216338505,0.06569104012830307,0.450999765693881,0.9656225539590682,0.02404548415226342,0.18980176052830253,0.7405773692432017,0.44124117877325203,0.44475956326219834,propose,50000,58,285,0.5
0.9543005297336145,0.06574784550787875,0.4512932409924758,0.9679625345156491,0.02136198072333008,0.2064522886286259,0.7318069433499168,0.44430490365085024,0.44259165657681765,propose,50000,106,292,1.0
0.9553058164650201,0.06639625247853487,0.4390567296034249,0.9688478390943568,0.020663002578797326,0.2157859116398969,0.7386964525269053,0.4427347571971321,0.4471272577276259,propose,50000,130,293,3.0
0.955711292590193,0.06591228564664085,0.4466204803011071,0.9683430478547833,0.020302905225600677,0.21230730043173346,0.736568389770861,0.4425680138609642,0.44067158725682504,propose,50000,139,294,5.0
0.955511400622188,0.06451241195740136,0.45379508614838104,0.9682138570204829,0.020642507177539866,0.21021184023439424,0.7412065138271441,0.4427143405784394,0.4433532194520963,propose,50000,184,295,10.0
0.9573697320059789,0.06295642192551536,0.47274834030062385,0.9720355397770248,0.021409386875473953,0.22158219336058635,0.7319513207524468,0.4505736475369599,0.44218802204901486,propose,50000,260,293,30.0
