depth,information_gain,switched,delta,weighting_strategy,node_id,tree_index
0,20.38494319713171,False,0.01,ctcvr_subctr_de_norm_gain,0,18
1,8.013739993808294,False,0.01,ctcvr_subctr_de_norm_gain,1,18
2,0.9651267836036794,False,0.01,ctcvr_subctr_de_norm_gain,2,18
2,19.418254891534996,False,0.01,ctcvr_subctr_de_norm_gain,5,18
0,18.086156440707253,False,0.01,ctcvr_subctr_de_norm_gain,0,19
1,8.057840424672065,False,0.01,ctcvr_subctr_de_norm_gain,1,19
2,4.221289456849266,False,0.01,ctcvr_subctr_de_norm_gain,2,19
2,7.267905382358527,False,0.01,ctcvr_subctr_de_norm_gain,5,19
0,2614.7946050977566,False,0.05,ctcvr_subctr_de_norm_gain,0,0
1,35.771838003709036,False,0.05,ctcvr_subctr_de_norm_gain,1,0
2,28.470390191632564,False,0.05,ctcvr_subctr_de_norm_gain,2,0
2,18.79929352732057,False,0.05,ctcvr_subctr_de_norm_gain,5,0
0,354.41897008260474,False,0.05,ctcvr_subctr_de_norm_gain,0,1
1,30.768606438385113,False,0.05,ctcvr_subctr_de_norm_gain,1,1
2,21.19710425984344,False,0.05,ctcvr_subctr_de_norm_gain,2,1
2,18.082809472769824,False,0.05,ctcvr_subctr_de_norm_gain,5,1
0,260.18929885920073,False,0.05,ctcvr_subctr_de_norm_gain,0,2
1,29.726816829106454,False,0.05,ctcvr_subctr_de_norm_gain,1,2
2,11.890883938242425,False,0.05,ctcvr_subctr_de_norm_gain,2,2
2,18.25600916980491,False,0.05,ctcvr_subctr_de_norm_gain,5,2
0,202.7788879727338,False,0.05,ctcvr_subctr_de_norm_gain,0,3
1,27.25011461586987,False,0.05,ctcvr_subctr_de_norm_gain,1,3
2,9.05426851217844,False,0.05,ctcvr_subctr_de_norm_gain,2,3
2,18.5701373935047,False,0.05,ctcvr_subctr_de_norm_gain,5,3
0,163.43048979642387,False,0.05,ctcvr_subctr_de_norm_gain,0,4
1,26.14997767986489,False,0.05,ctcvr_subctr_de_norm_gain,1,4
2,10.448885825714655,False,0.05,ctcvr_subctr_de_norm_gain,2,4
2,13.796299396367917,False,0.05,ctcvr_subctr_de_norm_gain,5,4
0,134.56213570972784,False,0.05,ctcvr_subctr_de_norm_gain,0,5
1,23.96378523032958,False,0.05,ctcvr_subctr_de_norm_gain,1,5
2,5.458054458773354,False,0.05,ctcvr_subctr_de_norm_gain,2,5
2,16.63225826482938,False,0.05,ctcvr_subctr_de_norm_gain,5,5
0,112.43155564507903,False,0.05,ctcvr_subctr_de_norm_gain,0,6
1,21.76851987351082,False,0.05,ctcvr_subctr_de_norm_gain,1,6
2,5.290158662098172,False,0.05,ctcvr_subctr_de_norm_gain,2,6
2,12.745788955218702,False,0.05,ctcvr_subctr_de_norm_gain,5,6
0,94.94308036100963,False,0.05,ctcvr_subctr_de_norm_gain,0,7
1,19.77353218289987,False,0.05,ctcvr_subctr_de_norm_gain,1,7
2,8.869667336175333,False,0.05,ctcvr_subctr_de_norm_gain,2,7
2,8.24125550128548,False,0.05,ctcvr_subctr_de_norm_gain,5,7
0,80.82405074874053,False,0.05,ctcvr_subctr_de_norm_gain,0,8
1,18.372379874748095,False,0.05,ctcvr_subctr_de_norm_gain,1,8
2,5.361158067553468,False,0.05,ctcvr_subctr_de_norm_gain,2,8
2,11.291746646334767,False,0.05,ctcvr_subctr_de_norm_gain,5,8
0,69.28869012417078,False,0.05,ctcvr_subctr_de_norm_gain,0,9
1,17.106817628180394,False,0.05,ctcvr_subctr_de_norm_gain,1,9
2,6.507586800929279,False,0.05,ctcvr_subctr_de_norm_gain,2,9
2,13.113522741994462,False,0.05,ctcvr_subctr_de_norm_gain,5,9
0,59.67975878072428,False,0.05,ctcvr_subctr_de_norm_gain,0,10
1,16.316101558428826,False,0.05,ctcvr_subctr_de_norm_gain,1,10
